17560;	-35;	-8;	-0,111;	-0,591;	0,863;	1,7;	0,136;	0,022;	-0,1113;	0,0134;	-0,1829;	0,0135
17685;	-35;	-8;	-0,106;	-0,599;	0,865;	1,8;	0,138;	0,022;	-0,1057;	0,0141;	-0,1829;	0,0142
17810;	-35;	-7;	-0,115;	-0,594;	0,865;	1,8;	0,14;	0,022;	-0,1145;	0,0143;	-0,1822;	0,0144
17932;	-35;	-7;	-0,112;	-0,591;	0,86;	2,2;	0,142;	0,022;	-0,1118;	0,0151;	-0,1976;	0,0151
18053;	-35;	-7;	-0,111;	-0,596;	0,861;	2,6;	0,145;	0,022;	-0,1108;	0,0152;	-0,1981;	0,0153
18178;	-35;	-7;	-0,107;	-0,597;	0,87;	2,9;	0,147;	0,022;	-0,1072;	0,0148;	-0,1981;	0,015
18303;	-35;	-7;	-0,107;	-0,591;	0,864;	3,1;	0,149;	0,022;	-0,1067;	0,0145;	-0,1977;	0,0147
18427;	-34;	-7;	-0,111;	-0,597;	0,871;	3,2;	0,151;	0,022;	-0,1111;	0,0146;	-0,1979;	0,0148
18551;	-35;	-7;	-0,115;	-0,597;	0,865;	3,3;	0,154;	0,023;	-0,1147;	0,0143;	-0,1978;	0,0144
18676;	-35;	-7;	-0,105;	-0,594;	0,861;	3,3;	0,156;	0,023;	-0,1055;	0,0148;	-0,1976;	0,015
18801;	-35;	-7;	-0,106;	-0,584;	0,863;	3,3;	0,158;	0,023;	-0,1057;	0,015;	-0,1973;	0,0151
18926;	-34;	-5;	-0,106;	-0,59;	0,857;	3,8;	0,16;	0,023;	-0,1062;	0,0152;	-0,1969;	0,0154
19051;	-34;	-6;	-0,102;	-0,591;	0,867;	4;	0,163;	0,023;	-0,1023;	0,0156;	-0,1967;	0,0159
19176;	-34;	-7;	-0,108;	-0,591;	0,872;	4,1;	0,165;	0,023;	-0,1082;	0,0157;	-0,1966;	0,016
19297;	-35;	-8;	-0,115;	-0,595;	0,862;	4,1;	0,167;	0,023;	-0,1155;	0,0158;	-0,1963;	0,016
19422;	-35;	-8;	-0,111;	-0,589;	0,861;	4;	0,169;	0,023;	-0,1106;	0,0155;	-0,1961;	0,0158
19547;	-35;	-8;	-0,109;	-0,595;	0,863;	3,5;	0,172;	0,023;	-0,1094;	0,0157;	-0,1965;	0,0159
19668;	-35;	-8;	-0,108;	-0,597;	0,862;	3,1;	0,174;	0,023;	-0,1079;	0,0149;	-0,1967;	0,015
19792;	-34;	-7;	-0,11;	-0,594;	0,867;	2,8;	0,176;	0,023;	-0,1096;	0,0151;	-0,1967;	0,0152
19917;	-34;	-7;	-0,105;	-0,6;	0,85;	2,7;	0,179;	0,023;	-0,1052;	0,0149;	-0,197;	0,015
20042;	-35;	-7;	-0,108;	-0,59;	0,856;	2,7;	0,181;	0,023;	-0,1082;	0,0149;	-0,197;	0,015
20167;	-35;	-7;	-0,104;	-0,594;	0,862;	2,8;	0,183;	0,023;	-0,1038;	0,0152;	-0,197;	0,0153
20292;	-35;	-7;	-0,114;	-0,597;	0,868;	2,8;	0,186;	0,023;	-0,1143;	0,0156;	-0,1967;	0,0157
20417;	-35;	-7;	-0,107;	-0,592;	0,86;	2,8;	0,188;	0,023;	-0,1069;	0,0155;	-0,1964;	0,0156
20541;	-35;	-7;	-0,111;	-0,594;	0,863;	2,8;	0,19;	0,023;	-0,1108;	0,0157;	-0,1959;	0,0158
20663;	-35;	-7;	-0,1;	-0,597;	0,868;	2,8;	0,193;	0,023;	-0,1001;	0,0157;	-0,1956;	0,0159
20784;	-35;	-7;	-0,103;	-0,592;	0,859;	2,9;	0,195;	0,024;	-0,1025;	0,016;	-0,1962;	0,0161
20909;	-34;	-7;	-0,1;	-0,603;	0,869;	2,9;	0,197;	0,024;	-0,1001;	0,0164;	-0,1965;	0,0166
21034;	-34;	-7;	-0,106;	-0,601;	0,865;	3;	0,2;	0,024;	-0,1057;	0,0168;	-0,197;	0,0169
21159;	-34;	-7;	-0,108;	-0,595;	0,858;	3,2;	0,202;	0,024;	-0,1082;	0,0168;	-0,1973;	0,0169
21282;	-34;	-7;	-0,106;	-0,609;	1,875;	3,2;	0,204;	0,024;	-0,1057;	0,0169;	-0,1972;	0,0171
21407;	-34;	-7;	-0,104;	-0,594;	0,871;	3,3;	0,207;	0,024;	-0,1042;	0,017;	-0,1966;	0,0171
21532;	-34;	-7;	-0,104;	-0,594;	0,869;	3,4;	0,209;	0,024;	-0,1045;	0,0165;	-0,1961;	0,0167
21657;	-33;	-6;	-0,103;	-0,6;	0,863;	3,6;	0,212;	0,024;	-0,1033;	0,0165;	-0,1957;	0,0167
21782;	-34;	-6;	-0,102;	-0,591;	0,869;	3,7;	0,214;	0,024;	-0,1023;	0,0165;	-0,1958;	0,0168
21906;	-34;	-7;	-0,108;	-0,591;	0,862;	3,8;	0,216;	0,024;	-0,1077;	0,0172;	-0,196;	0,0174
22028;	-34;	-7;	-0,109;	-0,599;	0,865;	3,8;	0,219;	0,024;	-0,1086;	0,0171;	-0,1959;	0,0173
22149;	-34;	-7;	-0,106;	-0,592;	0,852;	3,8;	0,221;	0,024;	-0,1064;	0,0169;	-0,1962;	0,0171
22274;	-34;	-7;	-0,108;	-0,592;	0,864;	3,6;	0,224;	0,024;	-0,1084;	0,0175;	-0,1965;	0,0178
22399;	-35;	-7;	-0,103;	-0,6;	0,866;	3,4;	0,226;	0,024;	-0,1025;	0,0175;	-0,1958;	0,0177
22522;	-35;	-7;	-0,115;	-0,601;	0,861;	3,4;	0,229;	0,024;	-0,1155;	0,0173;	-0,1958;	0,0175
22647;	-35;	-7;	-0,102;	-0,596;	0,862;	3,3;	0,231;	0,024;	-0,1016;	0,0174;	-0,1957;	0,0176
22772;	-34;	-6;	-0,104;	-0,599;	0,863;	3,5;	0,233;	0,024;	-0,1042;	0,0177;	-0,1952;	0,0179
22897;	-34;	-6;	-0,114;	-0,601;	0,866;	3,6;	0,236;	0,025;	-0,1138;	0,017;	-0,1949;	0,0173
23022;	-34;	-7;	-0,111;	-0,603;	0,865;	3,7;	0,238;	0,025;	-0,1106;	0,0179;	-0,1953;	0,0181
23147;	-35;	-5;	-0,107;	-0,594;	0,852;	3,9;	0,241;	0,025;	-0,1069;	0,0176;	-0,1957;	0,0178
23271;	-35;	-6;	-0,107;	-0,6;	0,868;	4,1;	0,243;	0,025;	-0,1069;	0,0176;	-0,1955;	0,0178
23393;	-34;	-6;	-0,103;	-0,596;	0,867;	4,3;	0,246;	0,025;	-0,1033;	0,0175;	-0,1958;	0,0178
23514;	-34;	-6;	-0,105;	-0,595;	0,86;	4,3;	0,248;	0,025;	-0,1055;	0,0177;	-0,196;	0,018
23639;	-34;	-7;	-0,104;	-0,598;	0,869;	4,2;	0,251;	0,025;	-0,1035;	0,0174;	-0,1957;	0,0177
23763;	-34;	-7;	-0,1;	-0,597;	0,869;	4,1;	0,253;	0,025;	-0,1001;	0,0172;	-0,1955;	0,0174
23887;	-34;	-7;	-0,111;	-0,592;	0,859;	3,8;	0,256;	0,025;	-0,1113;	0,0173;	-0,1959;	0,0175
24012;	-34;	-6;	-0,108;	-0,6;	0,855;	3,6;	0,258;	0,025;	-0,1079;	0,0172;	-0,1961;	0,0174
24137;	-34;	-7;	-0,104;	-0,599;	0,855;	3,5;	0,261;	0,025;	-0,1045;	0,017;	-0,196;	0,0172
24262;	-34;	-7;	-0,106;	-0,592;	0,863;	3,4;	0,263;	0,025;	-0,106;	0,0175;	-0,1966;	0,0177
24386;	-34;	-7;	-0,106;	-0,595;	0,868;	3,4;	0,266;	0,025;	-0,1064;	0,0177;	-0,1965;	0,0179
24511;	-34;	-7;	-0,106;	-0,596;	0,866;	3,4;	0,268;	0,025;	-0,1062;	0,0179;	-0,196;	0,0181
24636;	-35;	-8;	-0,109;	-0,599;	0,858;	3,3;	0,271;	0,025;	-0,1091;	0,0185;	-0,1962;	0,0186
24761;	-35;	-8;	-0,103;	-0,598;	0,864;	3;	0,273;	0,025;	-0,103;	0,0188;	-0,196;	0,0189
24882;	-35;	-8;	-0,108;	-0,595;	0,857;	2,8;	0,276;	0,026;	-0,1084;	0,0184;	-0,1955;	0,0186
25007;	-35;	-7;	-0,103;	-0,598;	0,862;	2,7;	0,279;	0,026;	-0,1028;	0,0183;	-0,1956;	0,0184
25132;	-35;	-7;	-0,107;	-0,597;	0,861;	2,6;	0,281;	0,026;	-0,1074;	0,0183;	-0,1951;	0,0184
25256;	-35;	-7;	-0,109;	-0,597;	0,865;	2,7;	0,284;	0,026;	-0,1094;	0,0184;	-0,1952;	0,0185
25380;	-35;	-7;	-0,106;	-0,596;	0,869;	2,8;	0,286;	0,026;	-0,1064;	0,0179;	-0,1952;	0,018
25505;	-35;	-7;	-0,108;	-0,594;	0,859;	2,9;	0,289;	0,026;	-0,1077;	0,0181;	-0,1952;	0,0183
25630;	-35;	-7;	-0,107;	-0,593;	0,861;	3;	0,291;	0,026;	-0,1067;	0,0183;	-0,1951;	0,0184
25755;	-35;	-7;	-0,104;	-0,593;	0,857;	3,1;	0,294;	0,026;	-0,1045;	0,0185;	-0,1951;	0,0186
